"Lecture","Kind","Pt","Line","FrameTitle"
"Lecture18_India_Agri_Trade_Policy","vbox","261.68661","1045","Challenges India Must Overcome"
"Lecture18_India_Agri_Trade_Policy","vbox","248.17583","757","The Value Addition Opportunity"
"Lecture18_India_Agri_Trade_Policy","vbox","248.17583","688","Import Profile: India's Agricultural Dependencies"
"Lecture18_India_Agri_Trade_Policy","vbox","232.5359","615","Geographic Distribution: Where India Exports"
"Lecture18_India_Agri_Trade_Policy","vbox","230.8672","1109","Opportunities for India's Agricultural Exports"
"Lecture18_India_Agri_Trade_Policy","vbox","216.89598","1535","Examination Information"
"Lecture12_Forex_Market","vbox","216.45862","1226","Exchange Rates as Agricultural Trade Policy"
"Lecture18_India_Agri_Trade_Policy","vbox","214.76685","1430","Final Thought: Agriculture and India's Development"
"Lecture12_Forex_Market","vbox","213.10738","841","The Forward Exchange Market"
"Lecture09_BoT_BoP","vbox","202.94464","461","National Income Identity Approach to the Current Account"
"Lecture18_India_Agri_Trade_Policy","vbox","201.25606","977","Geographical Indications as Trade Strategy"
"Lecture15_SPS_Codex","vbox","197.5939","840","Case Study 2: Indian Shrimp in the USA"
"Lecture09_BoT_BoP","vbox","191.4243","546","Current and Capital Account Structure"
"Lecture12_Forex_Market","vbox","183.92815","1025","India's Edible Oil Vulnerability"
"Lecture17_Export_Organizations","vbox","181.93239","589","APEDA's Success Metrics: Selected Achievements"
"Lecture06_Terms_of_Trade","vbox","176.56377","389","Offer Curves: Deriving the Equilibrium Terms of Trade"
"Lecture03_Theories_I","vbox","174.31212","1061","Smith vs Mercantilism: A Summary Comparison"
"Lecture17_Export_Organizations","vbox","173.73901","942","Coffee Board and Spices Board"
"Lecture12_Forex_Market","vbox","171.16307","956","INR Depreciation and Agricultural Exports"
"Lecture16_Export_Procedures","vbox","170.58456","1057","Import Procedures: The Mirror Image"
"Lecture18_India_Agri_Trade_Policy","vbox","154.33629","471","India's Agricultural Trade: The Big Picture (FY2024)"
"Lecture09_BoT_BoP","vbox","154.33629","1278","Remittances: India's Largest Single CA Credit"
"Lecture18_India_Agri_Trade_Policy","vbox","154.33629","532","Export Composition: What India Sells to the World"
"Lecture08_Protectionism_II","hbox","153.13911","878","India's Rice Export Ban (2023): Unilateral Market Power"
"Lecture17_Export_Organizations","vbox","152.45598","1021","Export Inspection Council (EIC)"
"Lecture17_Export_Organizations","vbox","152.17921","1128","Farmer Producer Organizations as Export Units"
"Lecture15_SPS_Codex","vbox","150.67413","897","Case Study 3: Basmati Rice and EU Pesticide Limits"
"Lecture15_SPS_Codex","vbox","150.67413","583","Codex Alimentarius: How It Works"
"Lecture14_Agreement_on_Agriculture","vbox","148.00064","1114","Export Restrictions: AoA Article 12"
"Lecture12_Forex_Market","vbox","146.82213","918","Exchange Rate Pass-Through"
"Lecture09_BoT_BoP","vbox","146.6587","861","Marshall-Lerner Condition: When Does Depreciation Help?"
"Lecture11_Foreign_Exchange_I","vbox","145.259","840","Covered vs Uncovered IRP"
"Lecture03_Theories_I","vbox","144.56702","886","Numerical Example: India and Bangladesh"
"Lecture16_Export_Procedures","hbox","140.53027","773","Export Houses: India's Trade Titans"
"Lecture16_Export_Procedures","hbox","140.53027","773","Export Houses: India's Trade Titans"
"Lecture09_BoT_BoP","vbox","139.74898","948","J-Curve: Mechanisms"
"Lecture17_Export_Organizations","vbox","136.81606","1080","NAFED: Price Stabilisation and Export Implications"
"Lecture15_SPS_Codex","vbox","135.03421","986","IPPC and Plant Quarantine: Mangoes to the USA"
"Lecture15_SPS_Codex","vbox","135.03421","657","FSSAI: India's Food Safety Regulator"
"Lecture15_SPS_Codex","vbox","135.03421","369","Opening Case: The MDH-Everest Spice Scandal"
"Lecture15_SPS_Codex","vbox","135.03421","1201","The NTB Dilemma: Safety vs Protectionism"
"Lecture06_Terms_of_Trade","vbox","134.67436","450","India's Agricultural Terms of Trade: Historical Trends"
"Lecture08_Protectionism_II","vbox","134.05644","924","Strategic Trade Policy and Infant Industry Argument"
"Lecture14_Agreement_on_Agriculture","vbox","132.71608","1289","AoA and Indian Farmer Welfare: An Assessment"
"Lecture12_Forex_Market","vbox","131.28699","549","India and the Impossible Trinity"
"Lecture17_Export_Organizations","vbox","131.09547","794","The Five Commodity Boards: Overview"
"Lecture16_Export_Procedures","vbox","130.87083","1111","Logistics and Infrastructure Challenges"
"Lecture12_Forex_Market","vbox","130.79507","588","The Mundell-Fleming Model: Open Economy IS-LM"
"Lecture12_Forex_Market","vbox","130.4431","782","RBI and India's Managed Float"
"Lecture12_Forex_Market","vbox","130.13965","1115","(untitled frame)"
"Lecture09_BoT_BoP","vbox","127.28738","789","BoP Adjustment Mechanisms"
"Lecture03_Theories_I","vbox","126.56657","800","Absolute Advantage: India vs USA (Salvatore Notation)"
"Lecture08_Protectionism_II","vbox","125.19289","403","Welfare Accounting: Export Subsidy"
"Lecture06_Terms_of_Trade","vbox","122.61598","897","Trade Creation vs.~Trade Diversion: Formal Analysis"
"Lecture18_India_Agri_Trade_Policy","vbox","122.29605","335","Opening Reflection"
"Lecture17_Export_Organizations","vbox","121.16684","864","Tea Board of India"
"Lecture15_SPS_Codex","vbox","119.39429","940","Animal Health: WOAH Standards and India"
"Lecture17_Export_Organizations","vbox","119.3727","694","MPEDA: India's Seafood Export Authority"
"Lecture15_SPS_Codex","vbox","117.26515","1076","Equivalence and Mutual Recognition"
"Lecture15_SPS_Codex","vbox","117.26515","1133","SPS Compliance Costs for India"
"Lecture16_Export_Procedures","vbox","116.88957","989","Case Study: Punjab Basmati to Saudi Arabia --- Part II"
"Lecture09_BoT_BoP","hbox","116.5469","661","Capital and Financial Account: India FY2024"
"Lecture09_BoT_BoP","hbox","116.5469","661","Capital and Financial Account: India FY2024"
"Lecture18_India_Agri_Trade_Policy","vbox","114.10999","1467","Key Takeaways for the Examination and for Life"
"Lecture08_Protectionism_II","vbox","111.10631","577","Dumping: Formal Condition and Anti-Dumping Duty"
"Lecture16_Export_Procedures","vbox","107.87695","1167","Digital Initiatives in Export Trade"
"Lecture16_Export_Procedures","vbox","107.87695","877","FSSAI and Food Safety Compliance for Exports"
"Lecture11_Foreign_Exchange_I","vbox","107.66933","377","Nominal vs Real Exchange Rate"
"Lecture09_BoT_BoP","vbox","107.41652","1212","India's Services Exports: The IT-BPO Engine"
"Lecture07_Protectionism_I","vbox","106.81395","513","Welfare Accounting: The Tariff Identity"
"Lecture09_BoT_BoP","vbox","106.69933","391","Balance of Trade: The Basics"
"Lecture03_Theories_I","vbox","106.4017","433","Mercantilist Policies in Practice"
"Lecture14_Agreement_on_Agriculture","vbox","106.31122","426","AoA Structure: The Three Pillars + S\&DT"
"Lecture18_India_Agri_Trade_Policy","hbox","106.17563","977","Geographical Indications as Trade Strategy"
"Lecture18_India_Agri_Trade_Policy","hbox","106.17563","977","Geographical Indications as Trade Strategy"
"Lecture16_Export_Procedures","vbox","105.90057","591","Letter of Credit: Reducing Counterparty Risk"
"Lecture16_Export_Procedures","vbox","105.28738","814","Export Incentive Schemes"
"Lecture15_SPS_Codex","vbox","104.82315","454","WTO SPS Agreement: Core Principles"
"Lecture09_BoT_BoP","hbox","104.58347","789","BoP Adjustment Mechanisms"
"Lecture09_BoT_BoP","hbox","104.58347","789","BoP Adjustment Mechanisms"
"Lecture15_SPS_Codex","vbox","104.36272","1244","Emerging SPS/TBT Challenges for India"
"Lecture15_SPS_Codex","vbox","102.28783","1277","Key Takeaways: SPS Measures and Codex"
"Lecture14_Agreement_on_Agriculture","vbox","101.713","1064","India's Export Support: WTO Legal?"
"Lecture15_SPS_Codex","vbox","101.62523","1329","Next Lecture: Export Procedures and Documentation"
"Lecture15_SPS_Codex","vbox","101.62523","1035","TBT Agreement: Beyond Food Safety"
"Lecture13_WTO","vbox","101.1334","671","Ministerial Conferences: Key Milestones"
"Lecture08_Protectionism_II","vbox","99.87602","659","VERs --- Quotas Imposed ``Voluntarily'' by Exporters"
"Lecture09_BoT_BoP","vbox","97.9274","1158","BoP and Agricultural Policy Linkages"
"Lecture09_BoT_BoP","hbox","95.3916","661","Capital and Financial Account: India FY2024"
"Lecture09_BoT_BoP","hbox","95.3916","661","Capital and Financial Account: India FY2024"
"Lecture03_Theories_I","vbox","92.89091","923","India's Absolute Advantage in Agriculture"
"Lecture06_Terms_of_Trade","vbox","91.88205","646","Non-Economic and Political Economy Arguments"
"Lecture09_BoT_BoP","vbox","91.7766","729","Official Reserves and RBI Intervention"
"Lecture09_BoT_BoP","vbox","90.91946","661","Capital and Financial Account: India FY2024"
"Lecture08_Protectionism_II","vbox","90.90793","981","WTO Disciplines: Key Rules Summary"
"Lecture17_Export_Organizations","vbox","90.48663","1175","Government Schemes Supporting Agri Export Organizations"
"Lecture17_Export_Organizations","vbox","89.89629","747","MPEDA: Quality Systems and International Compliance"
"Lecture16_Export_Procedures","vbox","89.64746","666","Customs Clearance: ICEGATE and the Shipping Bill"
"Lecture09_BoT_BoP","vbox","89.5971","996","Absorption Approach: Policy Implications"
"Lecture13_WTO","vbox","88.38712","620","(untitled frame)"
"Lecture12_Forex_Market","vbox","88.3116","619","(untitled frame)"
"Lecture15_SPS_Codex","vbox","88.11444","536","IPPC and the SPS Standards Hierarchy"
"Lecture16_Export_Procedures","vbox","87.41301","722","Direct vs Indirect Export Channels"
"Lecture07_Protectionism_I","vbox","87.19685","587","India's Agricultural Tariff Structure"
"Lecture05_Modern_Theory","vbox","86.54144","366","H-O Theorem: Formal Statement"
"Lecture12_Forex_Market","vbox","86.50816","651","(untitled frame)"
"Lecture14_Agreement_on_Agriculture","vbox","86.07307","1221","The Unfinished Doha Agriculture Agenda"
"Lecture14_Agreement_on_Agriculture","vbox","86.07307","1393","Next Lecture: SPS Measures and Codex Alimentarius"
"Lecture14_Agreement_on_Agriculture","vbox","86.07307","914","Peace Clause: Technical Details"
"Lecture14_Agreement_on_Agriculture","vbox","86.07307","969","Non-Product-Specific Support: India's Fertiliser Subsidy"
"Lecture15_SPS_Codex","vbox","85.9853","768","Case Study 1: Spice Rejections 2023-24"
"Lecture03_Theories_I","vbox","85.32175","618","Mercantilism vs Smith: Policy Implications"
"Lecture03_Theories_I","vbox","85.06772","579","Smith's Critique: Real Wealth vs Gold"
"Lecture03_Theories_I","vbox","84.91832","751","Absolute Advantage: Formal Definition"
"Lecture16_Export_Procedures","hbox","84.75174","877","FSSAI and Food Safety Compliance for Exports"
"Lecture16_Export_Procedures","hbox","84.75174","877","FSSAI and Food Safety Compliance for Exports"
"Lecture11_Foreign_Exchange_I","vbox","83.66235","896","RBI Intervention in the Forex Market"
"Lecture05_Modern_Theory","vbox","81.4402","549","Theorem 2: Stolper-Samuelson Theorem"
"Lecture02_Features","vbox","81.14157","489","Internal vs International Trade: Key Differences"
"Lecture16_Export_Procedures","hbox","80.84265","931","Case Study: Punjab Basmati to Saudi Arabia --- Part I"
"Lecture16_Export_Procedures","hbox","80.84265","931","Case Study: Punjab Basmati to Saudi Arabia --- Part I"
"Lecture03_Theories_I","vbox","80.57933","1127","The Case of Indian Spices: Absolute Advantage in Action"
"Lecture08_Protectionism_II","vbox","80.36761","878","India's Rice Export Ban (2023): Unilateral Market Power"
"Lecture03_Theories_I","vbox","79.05434","550","Mercantilist Arithmetic: Why the Logic Fails"
"Lecture12_Forex_Market","vbox","77.00723","1158","Key Takeaways: Lecture 12"
"Lecture16_Export_Procedures","vbox","76.44089","1229","Summary: The Export Ecosystem"
"Lecture16_Export_Procedures","hbox","75.10204","666","Customs Clearance: ICEGATE and the Shipping Bill"
"Lecture16_Export_Procedures","hbox","75.10204","666","Customs Clearance: ICEGATE and the Shipping Bill"
"Lecture18_India_Agri_Trade_Policy","vbox","74.75935","373","The Full Chain: Course Synthesis Diagram"
"Lecture12_Forex_Market","vbox","73.96971","328","Recap: What We Learned in Lecture 11"
"Lecture05_Modern_Theory","vbox","73.85324","488","Theorem 1: Factor Price Equalisation (FPE)"
"Lecture12_Forex_Market","vbox","73.84767","716","India's Forex Reserves: From Crisis to Abundance"
"Lecture13_WTO","hbox","73.38664","671","Ministerial Conferences: Key Milestones"
"Lecture13_WTO","hbox","73.38664","671","Ministerial Conferences: Key Milestones"
"Lecture11_Foreign_Exchange_I","vbox","71.29163","637","Purchasing Power Parity: Absolute PPP"
"Lecture12_Forex_Market","vbox","70.87209","868","Hedging with Forward Contracts"
"Lecture14_Agreement_on_Agriculture","vbox","70.43315","1021","Export Subsidies: History and Elimination"
"Lecture14_Agreement_on_Agriculture","vbox","70.43315","804","Green Box: What India Can and Cannot Claim"
"Lecture11_Foreign_Exchange_I","vbox","68.02751","603","India INR/USD Trend (2008--2024)"
"Lecture03_Theories_I","vbox","67.0511","1023","The Problem with Absolute Advantage"
"Lecture08_Protectionism_II","vbox","67.00354","469","MSP, FCI, and the Peace Clause"
"Lecture06_Terms_of_Trade","vbox","66.92354","510","Prebisch-Singer Hypothesis: Theoretical Foundations"
"Lecture14_Agreement_on_Agriculture","hbox","66.43324","597","India's Bound Tariffs: Agricultural Products"
"Lecture14_Agreement_on_Agriculture","hbox","66.43324","597","India's Bound Tariffs: Agricultural Products"
"Lecture05_Modern_Theory","vbox","65.95297","448","From Edgeworth Box to PPF"
"Lecture03_Theories_I","vbox","65.58546","990","Limitations of Absolute Advantage Theory"
"Lecture14_Agreement_on_Agriculture","hbox","64.0311","856","India's Amber Box Challenge: The Numbers"
"Lecture14_Agreement_on_Agriculture","hbox","64.0311","856","India's Amber Box Challenge: The Numbers"
"Lecture17_Export_Organizations","vbox","63.60909","491","APEDA's Key Functions in Practice"
"Lecture08_Protectionism_II","vbox","62.88368","497","What Is Dumping? Formal Definition"
"Lecture11_Foreign_Exchange_I","vbox","62.41138","674","Relative PPP"
"Lecture16_Export_Procedures","vbox","60.95718","773","Export Houses: India's Trade Titans"
"Lecture05_Modern_Theory","vbox","60.60222","830","H-O, Lewis, and India's Agricultural Exports"
"Lecture09_BoT_BoP","hbox","58.08691","1212","India's Services Exports: The IT-BPO Engine"
"Lecture09_BoT_BoP","hbox","58.08691","1212","India's Services Exports: The IT-BPO Engine"
"Lecture05_Modern_Theory","vbox","56.77145","613","Theorem 3: Rybczynski Theorem"
"Lecture14_Agreement_on_Agriculture","vbox","56.65195","729","The Three Boxes: Traffic Light Analogy"
"Lecture03_Theories_I","vbox","55.42082","948","(untitled frame)"
"Lecture12_Forex_Market","vbox","54.79323","446","Fixed vs Flexible: Trade-offs for Agricultural Economies"
"Lecture14_Agreement_on_Agriculture","vbox","54.79323","1163","(untitled frame)"
"Lecture15_SPS_Codex","vbox","54.70546","407","What Are SPS Measures?"
"Lecture14_Agreement_on_Agriculture","vbox","54.51646","552","(untitled frame)"
"Lecture13_WTO","hbox","53.10483","716","Key WTO Agreements --- Overview"
"Lecture13_WTO","hbox","53.10483","716","Key WTO Agreements --- Overview"
"Lecture11_Foreign_Exchange_I","vbox","52.38759","699","India: PPP-Implied vs Actual Rate"
"Lecture13_WTO","vbox","52.26099","1129","TRIPS and Indian Agriculture"
"Lecture16_Export_Procedures","hbox","51.10304","25","(no frame)"
"Lecture05_Modern_Theory","vbox","50.25552","407","The Edgeworth Box: Factor Allocation"
"Lecture11_Foreign_Exchange_I","vbox","49.09546","773","Interest Rate Parity: Uncovered IRP"
"Lecture03_Theories_I","vbox","48.65352","835","Gains from Trade: India and USA Under Absolute Advantage"
"Lecture06_Terms_of_Trade","vbox","47.28629","678","India and Free Trade: A Mixed Record"
"Lecture18_India_Agri_Trade_Policy","hbox","46.51273","688","Import Profile: India's Agricultural Dependencies"
"Lecture18_India_Agri_Trade_Policy","hbox","46.51273","688","Import Profile: India's Agricultural Dependencies"
"Lecture14_Agreement_on_Agriculture","vbox","45.96774","856","India's Amber Box Challenge: The Numbers"
"Lecture07_Protectionism_I","vbox","45.9229","460","Partial Equilibrium Analysis of a Tariff"
"Lecture17_Export_Organizations","vbox","45.88","1227","India's 2030 Agricultural Export Ambition"
"Lecture05_Modern_Theory","vbox","45.02159","875","The Modern Theory of Trade: Summary"
"Lecture04_Comparative_Advantage","vbox","44.9623","820","Comparative Advantage: Summary"
"Lecture11_Foreign_Exchange_I","vbox","43.79135","735","Limitations of PPP"
"Lecture17_Export_Organizations","hbox","43.7532","491","APEDA's Key Functions in Practice"
"Lecture17_Export_Organizations","hbox","43.7532","491","APEDA's Key Functions in Practice"
"Lecture09_BoT_BoP","hbox","43.53267","861","Marshall-Lerner Condition: When Does Depreciation Help?"
"Lecture09_BoT_BoP","hbox","43.53267","861","Marshall-Lerner Condition: When Does Depreciation Help?"
"Lecture16_Export_Procedures","vbox","43.26112","367","Step 1 --- Pre-Export Registrations: The Four Pillars"
"Lecture02_Features","vbox","42.07701","445","Feature 2: Currency and Exchange Risk"
"Lecture13_WTO","vbox","41.47731","427","The Uruguay Round (1986--1994)"
"Lecture13_WTO","vbox","40.56842","903","The Doha Development Round"
"Lecture06_Terms_of_Trade","vbox","40.31427","717","What is an FTA?"
"Lecture06_Terms_of_Trade","vbox","39.26541","344","What Are Terms of Trade?"
"Lecture10_India_External_Sector","hbox","39.18242","956","Rice Export Restrictions: A Policy Dilemma"
"Lecture10_India_External_Sector","hbox","39.18242","956","Rice Export Restrictions: A Policy Dilemma"
"Lecture13_WTO","vbox","39.1533","1085","The Peace Clause (Bali, 2013)"
"Lecture14_Agreement_on_Agriculture","vbox","38.52118","682","Aggregate Measurement of Support (AMS)"
"Lecture12_Forex_Market","vbox","38.34932","691","Mundell-Fleming: Policy Effectiveness Summary"
"Lecture11_Foreign_Exchange_I","vbox","37.44745","1012","Key Takeaways"
"Lecture18_India_Agri_Trade_Policy","hbox","37.29613","615","Geographic Distribution: Where India Exports"
"Lecture18_India_Agri_Trade_Policy","hbox","37.29613","615","Geographic Distribution: Where India Exports"
"Lecture07_Protectionism_I","vbox","36.83972","859","The Optimal Tariff Argument"
"Lecture12_Forex_Market","vbox","36.0253","395","(untitled frame)"
"Lecture07_Protectionism_I","vbox","35.64189","701","Effective Rate of Protection (ERP)"
"Lecture05_Modern_Theory","hbox","35.23666","549","Theorem 2: Stolper-Samuelson Theorem"
"Lecture08_Protectionism_II","vbox","34.94794","696","VER Welfare Analysis"
"Lecture13_WTO","vbox","32.63489","372","GATT to WTO: A Brief History"
"Lecture11_Foreign_Exchange_I","vbox","31.79556","571","Factors Shifting Demand and Supply"
"Lecture13_WTO","vbox","30.36035","955","Trade Facilitation Agreement (TFA, 2017)"
"Lecture09_BoT_BoP","hbox","30.06673","461","National Income Identity Approach to the Current Account"
"Lecture16_Export_Procedures","vbox","29.82526","931","Case Study: Punjab Basmati to Saudi Arabia --- Part I"
"Lecture04_Comparative_Advantage","vbox","29.37881","426","The Comparative Advantage Condition"
"Lecture16_Export_Procedures","vbox","29.2169","415","Export Contracts and Incoterms 2020"
"Lecture04_Comparative_Advantage","vbox","28.94818","641","Utility Maximisation Under Trade"
"Lecture16_Export_Procedures","vbox","28.63976","271","(no frame)"
"Lecture08_Protectionism_II","vbox","28.63976","271","(no frame)"
"Lecture18_India_Agri_Trade_Policy","vbox","28.63976","271","(no frame)"
"Lecture03_Theories_I","vbox","28.63976","271","(no frame)"
"Lecture09_BoT_BoP","vbox","28.63976","271","(no frame)"
"Lecture15_SPS_Codex","vbox","28.63976","271","(no frame)"
"Lecture04_Comparative_Advantage","vbox","28.63197","287","(no frame)"
"Lecture05_Modern_Theory","vbox","28.63197","287","(no frame)"
"Lecture17_Export_Organizations","vbox","28.63197","271","(no frame)"
"Lecture01_Introduction","vbox","28.63197","271","(no frame)"
"Lecture06_Terms_of_Trade","vbox","28.63197","271","(no frame)"
"Lecture02_Features","vbox","28.63197","271","(no frame)"
"Lecture13_WTO","vbox","28.63197","271","(no frame)"
"Lecture14_Agreement_on_Agriculture","vbox","28.63197","271","(no frame)"
"Lecture12_Forex_Market","vbox","28.63197","271","(no frame)"
"Lecture10_India_External_Sector","vbox","28.63197","271","(no frame)"
"Lecture11_Foreign_Exchange_I","vbox","28.63197","271","(no frame)"
"Lecture07_Protectionism_I","vbox","28.63197","271","(no frame)"
"Lecture16_Export_Procedures","hbox","28.10811","25","(no frame)"
"Lecture02_Features","vbox","27.08522","517","The Gravity Model of Trade"
"Lecture06_Terms_of_Trade","vbox","26.36172","745","India's Major FTAs: An Overview"
"Lecture13_WTO","vbox","24.11302","799","India in WTO Disputes"
"Lecture14_Agreement_on_Agriculture","vbox","23.51338","597","India's Bound Tariffs: Agricultural Products"
"Lecture13_WTO","vbox","23.51338","990","WTO Fisheries Subsidies Agreement (MC12, 2022)"
"Lecture13_WTO","vbox","23.21802","593","MFN in Depth: The India Example"
"Lecture11_Foreign_Exchange_I","vbox","22.98352","479","Demand for Foreign Exchange"
"Lecture11_Foreign_Exchange_I","vbox","22.98352","513","Supply of Foreign Exchange"
"Lecture13_WTO","vbox","22.93379","716","Key WTO Agreements --- Overview"
"Lecture11_Foreign_Exchange_I","vbox","21.70995","1072","(untitled frame)"
"Lecture13_WTO","vbox","21.70995","1032","WTO and India's Food Security Tension"
"Lecture07_Protectionism_I","vbox","21.62527","813","Tariff vs Quota: Similarities and Differences"
"Lecture03_Theories_I","vbox","21.3857","390","What is Mercantilism?"
"Lecture06_Terms_of_Trade","vbox","21.10774","472","India's Agricultural Terms of Trade: 2010--2024"
"Lecture06_Terms_of_Trade","vbox","21.10774","813","India's Trade Balance with FTA Partners"
"Lecture10_India_External_Sector","vbox","21.1039","366","Merchandise Export Composition: FY2024"
"Lecture10_India_External_Sector","vbox","21.09845","420","Merchandise Import Composition: FY2024"
"Lecture10_India_External_Sector","vbox","21.09845","690","Services Trade Composition: FY2024"
"Lecture10_India_External_Sector","vbox","21.09845","744","Remittances: Global Comparison"
"Lecture14_Agreement_on_Agriculture","hbox","20.31888","477","Tariffication: Converting NTBs to Tariffs"
"Lecture14_Agreement_on_Agriculture","hbox","20.31888","477","Tariffication: Converting NTBs to Tariffs"
"Lecture17_Export_Organizations","vbox","20.27777","329","The Institutional Architecture of India's Agri Exports"
"Lecture05_Modern_Theory","vbox","19.48352","772","Lewis (1954): Structural Transformation"
"Lecture11_Foreign_Exchange_I","vbox","19.39346","339","Spot vs Forward Rates"
"Lecture10_India_External_Sector","vbox","19.30046","590","India's Trade Partners: FY2024"
"Lecture08_Protectionism_II","hbox","18.85226","924","Strategic Trade Policy and Infant Industry Argument"
"Lecture03_Theories_I","vbox","18.6657","463","Colonial Trade: The Institutional Structure"
"Lecture07_Protectionism_I","vbox","18.65369","776","Tariff vs Quota: Revenue vs Rent"
"Lecture16_Export_Procedures","hbox","17.09901","415","Export Contracts and Incoterms 2020"
"Lecture16_Export_Procedures","hbox","17.09901","415","Export Contracts and Incoterms 2020"
"Lecture09_BoT_BoP","vbox","16.95958","1331","Key Takeaways: Lecture 9"
"Lecture09_BoT_BoP","hbox","16.5712","1158","BoP and Agricultural Policy Linkages"
"Lecture09_BoT_BoP","hbox","16.5712","1158","BoP and Agricultural Policy Linkages"
"Lecture14_Agreement_on_Agriculture","hbox","15.71204","43","(no frame)"
"Lecture14_Agreement_on_Agriculture","hbox","15.71204","39","(no frame)"
"Lecture14_Agreement_on_Agriculture","hbox","15.1396","682","Aggregate Measurement of Support (AMS)"
"Lecture06_Terms_of_Trade","vbox","14.89482","604","Economic Arguments for Agricultural Protection"
"Lecture08_Protectionism_II","vbox","14.83044","1013","Key Takeaways: Lecture 8"
"Lecture14_Agreement_on_Agriculture","hbox","14.6785","969","Non-Product-Specific Support: India's Fertiliser Subsidy"
"Lecture14_Agreement_on_Agriculture","hbox","14.6785","969","Non-Product-Specific Support: India's Fertiliser Subsidy"
"Lecture14_Agreement_on_Agriculture","vbox","14.60037","477","Tariffication: Converting NTBs to Tariffs"
"Lecture11_Foreign_Exchange_I","vbox","14.55956","533","Foreign Exchange Market Equilibrium"
"Lecture17_Export_Organizations","hbox","14.08522","589","APEDA's Success Metrics: Selected Achievements"
"Lecture17_Export_Organizations","hbox","14.08522","589","APEDA's Success Metrics: Selected Achievements"
"Lecture15_SPS_Codex","vbox","12.63483","314","Recap: Lecture 14"
"Lecture17_Export_Organizations","vbox","11.6037","392","APEDA: Mandate and Structure"
"Lecture14_Agreement_on_Agriculture","hbox","9.7016","28","(no frame)"
"Lecture05_Modern_Theory","vbox","9.6676","907","Looking Ahead: New Trade Theory"
"Lecture07_Protectionism_I","vbox","9.47623","426","Baseline: Free Trade Welfare"
"Lecture10_India_External_Sector","vbox","9.02507","981","India's Balance of Payments: Summary Picture"
"Lecture05_Modern_Theory","vbox","8.98756","333","The Heckscher-Ohlin Framework"
"Lecture08_Protectionism_II","vbox","8.28009","725","What Is a Cartel? Conditions for Success"
"Lecture18_India_Agri_Trade_Policy","hbox","8.17157","471","India's Agricultural Trade: The Big Picture (FY2024)"
"Lecture18_India_Agri_Trade_Policy","hbox","8.17157","471","India's Agricultural Trade: The Big Picture (FY2024)"
"Lecture14_Agreement_on_Agriculture","vbox","7.93277","354","Why Was the AoA Needed?"
"Lecture13_WTO","vbox","7.87346","853","India's WTO Negotiating Coalitions"
"Lecture09_BoT_BoP","hbox","7.11555","661","Capital and Financial Account: India FY2024"
"Lecture13_WTO","vbox","6.1676","1239","Key Takeaways: WTO"
"Lecture07_Protectionism_I","vbox","5.81499","639","The Tariff Rate Quota (TRQ)"
"Lecture04_Comparative_Advantage","vbox","5.72594","609","Consumer Preferences and Equilibrium"
"Lecture04_Comparative_Advantage","vbox","5.47426","459","Production Possibility Frontiers"
"Lecture02_Features","vbox","5.46284","327","India's Growing Trade Openness"
"Lecture03_Theories_I","vbox","5.13742","1089","(untitled frame)"
"Lecture08_Protectionism_II","vbox","4.4439","347","What Is an Export Subsidy?"
"Lecture14_Agreement_on_Agriculture","vbox","3.8436","1342","Key Takeaways: Agreement on Agriculture"
"Lecture06_Terms_of_Trade","vbox","3.8436","843","India and RCEP: The Exit Decision"
"Lecture06_Terms_of_Trade","vbox","3.8436","869","Trade Creation vs.~Trade Diversion"
"Lecture05_Modern_Theory","vbox","3.66438","701","Factor Intensity of India's Trade"
"Lecture13_WTO","hbox","3.48984","1171","India's WTO Schedules and Policy Space"
"Lecture13_WTO","hbox","3.48984","1171","India's WTO Schedules and Policy Space"
"Lecture16_Export_Procedures","hbox","3.09799","989","Case Study: Punjab Basmati to Saudi Arabia --- Part II"
"Lecture16_Export_Procedures","hbox","3.09799","989","Case Study: Punjab Basmati to Saudi Arabia --- Part II"
"Lecture04_Comparative_Advantage","vbox","3.07013","491","The Terms of Trade Range"
"Lecture03_Theories_I","vbox","2.41742","681","Neo-Mercantilism: Critique and Assessment"
"Lecture11_Foreign_Exchange_I","hbox","2.09975","571","Factors Shifting Demand and Supply"
"Lecture11_Foreign_Exchange_I","hbox","2.09975","571","Factors Shifting Demand and Supply"
"Lecture11_Foreign_Exchange_I","hbox","2.09975","571","Factors Shifting Demand and Supply"
"Lecture11_Foreign_Exchange_I","hbox","2.09975","571","Factors Shifting Demand and Supply"
"Lecture11_Foreign_Exchange_I","hbox","1.83946","571","Factors Shifting Demand and Supply"
"Lecture11_Foreign_Exchange_I","hbox","1.83946","571","Factors Shifting Demand and Supply"
"Lecture11_Foreign_Exchange_I","hbox","1.83946","571","Factors Shifting Demand and Supply"
"Lecture11_Foreign_Exchange_I","hbox","1.83946","571","Factors Shifting Demand and Supply"
"Lecture06_Terms_of_Trade","vbox","1.51959","535","Prebisch-Singer: Evidence and India's Response"
"Lecture08_Protectionism_II","vbox","1.31966","435","India's Export Subsidies: Sugar Case (WTO DS579)"
"Lecture09_BoT_BoP","hbox","0.85211","789","BoP Adjustment Mechanisms"
